,confidence,rank,prompt
front_view,0.2193179875612259,1,a front view photo of a BMW X3
realistic,0.21712961792945862,1,a realistic photo of a BMW X3 vehicle
angle_view,0.21700617671012878,1,an angled view photo of a BMW X3
contextual,0.21693725883960724,1,a photo of a BMW X3 on a road
side_view,0.21686510741710663,1,a side view photo of a BMW X3
basic,0.21672804653644562,1,a photo of a BMW X3
descriptive,0.2167021483182907,1,a clear photo of a BMW X3 car
outdoor,0.21642091870307922,1,an outdoor photo of a BMW X3
professional,0.21570351719856262,1,a professional photograph of a BMW X3
detailed,0.21413664519786835,1,a high quality photo of a BMW X3
artistic,0.21364563703536987,1,an artistic photo of a BMW X3
studio,0.2133554220199585,1,a studio photo of a BMW X3
